19:40:05.375978: CONFIG: CAN_MODE = 0, CAMERA_MODE = 1, CAM_INDEX = 0, VISUALIZE = 1, MISSION_SELECTED = 0
19:40:15.315647: Iter 64, FPS: 10.7, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 10.671986158465218, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -2.410626065403202, 'throttle': 0.0, 'brake': 0.0}
19:40:15.419477: Iter 65, FPS: 10.8, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 10.752861068952788, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -2.9035951968670455, 'throttle': 0.0, 'brake': 0.0}
19:40:15.516828: Iter 66, FPS: 9.6, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 9.579514024497477, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -3.1744234336952624, 'throttle': 0.0, 'brake': 0.0}
19:40:15.620711: Iter 67, FPS: 10.3, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 10.330340034185676, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -3.169404670632746, 'throttle': 0.0, 'brake': 0.0}
19:40:15.720681: Iter 68, FPS: 9.7, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 9.682969228673732, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -3.026229858035472, 'throttle': 0.0, 'brake': 0.0}
19:40:15.823962: Iter 69, FPS: 10.1, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 10.078609377665748, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 1.4597116336013174, 'throttle': 0.0, 'brake': 0.0}
19:40:15.932120: Iter 70, FPS: 9.6, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 9.640061504374946, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 1.7653379530159337, 'throttle': 0.0, 'brake': 0.0}
19:40:16.036624: Iter 71, FPS: 9.3, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 9.313369734408342, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 2.040457269350135, 'throttle': 0.0, 'brake': 0.0}
19:40:16.130681: Iter 72, FPS: 9.6, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 9.56906727748512, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 2.74445423736005, 'throttle': 0.0, 'brake': 0.0}
19:40:16.236032: Iter 73, FPS: 10.6, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 10.631760653169652, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 2.7424508310323463, 'throttle': 0.0, 'brake': 0.0}
19:40:16.338637: Iter 74, FPS: 9.5, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 9.506323490748212, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 4.109227445828985, 'throttle': 0.0, 'brake': 0.0}
19:40:16.454899: Iter 75, FPS: 9.8, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 9.841717975672022, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 7.0791403928279975, 'throttle': 0.0, 'brake': 0.0}
19:40:16.572260: Iter 76, FPS: 8.7, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 8.674950775187385, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 122.29406403385622, 'throttle': 0.0, 'brake': 0.0}
19:40:16.688394: Iter 77, FPS: 8.5, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 8.520643897840943, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -5.935623267702377, 'throttle': 0.0, 'brake': 0.0}
19:40:16.806045: Iter 78, FPS: 8.6, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 8.558092463140024, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -11.809396711493218, 'throttle': 0.0, 'brake': 0.0}
19:40:16.917732: Iter 79, FPS: 8.6, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 8.551671267733136, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -11.731617993477348, 'throttle': 0.0, 'brake': 0.0}
19:40:17.028815: Iter 80, FPS: 9.0, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 8.953617050344969, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -10.673298047366009, 'throttle': 0.0, 'brake': 0.0}
19:40:17.138884: Iter 81, FPS: 9.1, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 9.08349539794261, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -10.452444150081279, 'throttle': 0.0, 'brake': 0.0}
19:40:17.256529: Iter 82, FPS: 9.1, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 9.092277543658845, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -6.892852468745342, 'throttle': 0.0, 'brake': 0.0}
19:40:17.369963: Iter 83, FPS: 8.6, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 8.567182348880056, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -1.8120610413888723, 'throttle': 0.0, 'brake': 0.0}
19:40:17.488112: Iter 84, FPS: 8.8, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 8.820457604306863, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -13.994571756754853, 'throttle': 0.0, 'brake': 0.0}
19:40:17.613771: Iter 85, FPS: 8.4, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 8.413461364871832, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -14.827225310233194, 'throttle': 0.0, 'brake': 0.0}
19:40:17.733017: Iter 86, FPS: 8.0, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 8.003159816898533, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -1.1986695925540056, 'throttle': 0.0, 'brake': 0.0}
19:40:17.857099: Iter 87, FPS: 8.4, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 8.440890878098944, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -1.2385138406740344, 'throttle': 0.0, 'brake': 0.0}
19:40:17.975762: Iter 88, FPS: 8.0, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 7.994861091255659, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -1.3625989774277039, 'throttle': 0.0, 'brake': 0.0}
19:40:18.086126: Iter 89, FPS: 8.4, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 8.427390852704145, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -2.884408621496763, 'throttle': 0.0, 'brake': 0.0}
19:40:18.203569: Iter 90, FPS: 9.1, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 9.060674467988585, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -1.624548114840466, 'throttle': 0.0, 'brake': 0.0}
19:40:18.320755: Iter 91, FPS: 8.5, STATE: {'speed': -1.0, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 8.523708784230045, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -1.6235901985163224, 'throttle': 0.0, 'brake': 0.0}
