2024_04_18__16:27:19.418129: CONFIG: VISUALIZE: True, CAMERA_MODE: sim, COMM_MODE: sim, AGENT_MODE: 0, MISSION: 0, LOGGER: True, WEIGHTS_PATH: yolov5/weights/yolov5_models/best_adri.pt, 
2024_04_18__16:27:33.390248: Iter 58, FPS: 13.0, STATE: {'status': 'as_driving', 'speed': 4.716156005859375, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 13.019642901487497, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': 1, 'throttle': 0.0, 'brake': 0.019001865386962892}
2024_04_18__16:27:33.477014: Iter 59, FPS: 11.8, STATE: {'status': 'as_driving', 'speed': 5.648777961730957, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 11.801842462168748, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0, 'steer': 1, 'throttle': 0.0, 'brake': 0.0648777961730957}
2024_04_18__16:27:33.557833: Iter 60, FPS: 11.5, STATE: {'status': 'as_driving', 'speed': 6.398261547088623, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 11.525346229940647, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0, 'steer': 1, 'throttle': 0.0, 'brake': 0.1398261547088623}
2024_04_18__16:27:33.640577: Iter 61, FPS: 12.4, STATE: {'status': 'as_driving', 'speed': 7.058207988739014, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 12.373235157028986, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0, 'steer': 1, 'throttle': 0.0, 'brake': 0.20582079887390137}
2024_04_18__16:27:33.730337: Iter 62, FPS: 12.1, STATE: {'status': 'as_driving', 'speed': 7.701867580413818, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 12.085520325484366, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0, 'steer': 1, 'throttle': 0.0, 'brake': 0.27018675804138187}
2024_04_18__16:27:33.817105: Iter 63, FPS: 11.1, STATE: {'status': 'as_driving', 'speed': 7.719363212585449, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 11.140811886921252, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0, 'steer': 1, 'throttle': 0.0, 'brake': 0.27193632125854494}
2024_04_18__16:27:33.906901: Iter 64, FPS: 11.5, STATE: {'status': 'as_driving', 'speed': 7.305494785308838, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 11.524997870475447, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0, 'steer': 1.9084465706287304, 'throttle': 0.0, 'brake': 0.2305494785308838}
2024_04_18__16:27:33.992679: Iter 65, FPS: 11.1, STATE: {'status': 'as_driving', 'speed': 6.533726692199707, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 11.136315723794782, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0, 'steer': 1.35408278380041, 'throttle': 0.0, 'brake': 0.15337266921997073}
2024_04_18__16:27:34.079403: Iter 66, FPS: 11.7, STATE: {'status': 'as_driving', 'speed': 5.9764628410339355, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 11.658065968641687, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0, 'steer': 1.3686561119287104, 'throttle': 0.0, 'brake': 0.09764628410339356}
2024_04_18__16:27:34.167160: Iter 67, FPS: 11.5, STATE: {'status': 'as_driving', 'speed': 5.346932888031006, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 11.53073264604811, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0, 'steer': 1.3389471318109445, 'throttle': 0.0, 'brake': 0.03469328880310059}
