2024_04_16__19:27:17.588537: CONFIG: CAN_MODE = 0, CAMERA_MODE = 2, CAM_INDEX = 0, VISUALIZE = 1, MISSION_SELECTED = 0
2024_04_16__19:27:25.031133: Iter 64, FPS: 12.1, STATE: {'speed': 7.177905082702637, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 12.080299076618223, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0.0, 'steer': 0.42797169473873214, 'throttle': 0.0, 'brake': 0.2177905082702637}
2024_04_16__19:27:25.128333: Iter 65, FPS: 11.9, STATE: {'speed': 7.670083999633789, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 11.936661164551198, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0.0, 'steer': 0.38629775804750266, 'throttle': 0.0, 'brake': 0.26700839996337894}
2024_04_16__19:27:25.216733: Iter 66, FPS: 10.4, STATE: {'speed': 7.627394676208496, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 10.394702406915421, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0.0, 'steer': 0.2084690256631313, 'throttle': 0.0, 'brake': 0.2627394676208496}
2024_04_16__19:27:25.309488: Iter 67, FPS: 11.3, STATE: {'speed': 7.232515811920166, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 11.312109606774907, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0.0, 'steer': 0.0363208669202334, 'throttle': 0.0, 'brake': 0.2232515811920166}
2024_04_16__19:27:25.401685: Iter 68, FPS: 10.7, STATE: {'speed': 6.649845600128174, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 10.664632549435405, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0.0, 'steer': -0.09442620332493185, 'throttle': 0.0, 'brake': 0.1649845600128174}
2024_04_16__19:27:25.495820: Iter 69, FPS: 10.8, STATE: {'speed': 6.22202730178833, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 10.848619190369897, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0.0, 'steer': -0.1587916211051334, 'throttle': 0.0, 'brake': 0.12220273017883301}
2024_04_16__19:27:25.597721: Iter 70, FPS: 10.7, STATE: {'speed': 5.845681190490723, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 10.736401288069993, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0.0, 'steer': -0.5193356309521935, 'throttle': 0.0, 'brake': 0.08456811904907227}
2024_04_16__19:27:25.690473: Iter 71, FPS: 9.9, STATE: {'speed': 5.429658889770508, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 9.909521334404385, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0.0, 'steer': -0.5323789114026218, 'throttle': 0.0, 'brake': 0.04296588897705078}
2024_04_16__19:27:25.776244: Iter 72, FPS: 10.9, STATE: {'speed': 5.133721351623535, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 10.898570608212571, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0.0, 'steer': -0.5160621708502316, 'throttle': 0.0, 'brake': 0.013372135162353516}
2024_04_16__19:27:25.870000: Iter 73, FPS: 11.7, STATE: {'speed': 4.963879585266113, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 11.658973339745211, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -0.5890773858670839, 'throttle': 0.0, 'brake': 0.013372135162353516}
2024_04_16__19:27:25.957277: Iter 74, FPS: 10.8, STATE: {'speed': 4.7581586837768555, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 10.780665093636424, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 1.0, 'steer': -0.49677264585528425, 'throttle': 0.0, 'brake': 0.013372135162353516}
2024_04_16__19:27:26.057519: Iter 75, FPS: 11.3, STATE: {'speed': 5.835908889770508, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 11.328180114191879, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0.0, 'steer': -0.3444103967979003, 'throttle': 0.0, 'brake': 0.08359088897705079}
2024_04_16__19:27:26.142796: Iter 76, FPS: 10.1, STATE: {'speed': 6.650622367858887, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 10.076260762607626, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0.0, 'steer': -0.22196901734258184, 'throttle': 0.0, 'brake': 0.1650622367858887}
2024_04_16__19:27:26.234552: Iter 77, FPS: 11.7, STATE: {'speed': 7.307552814483643, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 11.726513027116644, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0.0, 'steer': -0.10992112327273545, 'throttle': 0.0, 'brake': 0.23075528144836427}
2024_04_16__19:27:26.321319: Iter 78, FPS: 10.9, STATE: {'speed': 8.049442291259766, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 10.898429014639317, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0.0, 'steer': -0.0383203166455407, 'throttle': 0.0, 'brake': 0.3049442291259766}
2024_04_16__19:27:26.412076: Iter 79, FPS: 11.5, STATE: {'speed': 7.763608455657959, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 11.528640851419398, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0.0, 'steer': 0.3510566438440734, 'throttle': 0.0, 'brake': 0.27636084556579593}
2024_04_16__19:27:26.499224: Iter 80, FPS: 11.0, STATE: {'speed': 7.317939281463623, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 11.018215252055587, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0.0, 'steer': 0.4270703072747447, 'throttle': 0.0, 'brake': 0.23179392814636232}
2024_04_16__19:27:26.584120: Iter 81, FPS: 11.6, STATE: {'speed': 6.863478660583496, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 11.607670359413182, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0.0, 'steer': 0.718329927746887, 'throttle': 0.0, 'brake': 0.18634786605834963}
2024_04_16__19:27:26.683856: Iter 82, FPS: 11.6, STATE: {'speed': 6.28619909286499, 'rpm': -1.0, 'speed_senfl': -1.0, 'fps': 11.642274436872858, 'orientation_y_rad': 0.0}, ACTUATION: {'acc': 0.0, 'steer': 1.2542041745197519, 'throttle': 0.0, 'brake': 0.12861990928649902}
